Date,Tons
8/12/2017,26758
8/12/2017,27500
8/13/2017,28500
8/13/2017,35025
8/13/2017,29650
8/13/2017,25666
8/13/2017,22000
8/13/2017,27358
8/13/2017,18000
8/13/2017,22000
8/13/2017,27900
8/14/2017,29500
8/14/2017,26000
8/14/2017,37250
8/14/2017,24000
8/14/2017,27500
8/15/2017,34828
8/15/2017,27500
8/15/2017,29501
8/15/2017,32745
8/15/2017,27200
8/15/2017,18000
8/15/2017,22000
8/15/2017,34089
8/16/2017,28800
8/16/2017,18000
8/16/2017,22000
8/17/2017,27900
8/17/2017,26000
8/17/2017,29452
8/17/2017,27000
8/17/2017,27500
8/17/2017,24528
8/17/2017,29167
8/17/2017,26383
8/17/2017,28000
8/17/2017,24000
8/17/2017,29650
8/18/2017,22000
8/18/2017,30246
8/18/2017,26000
8/18/2017,25483
8/18/2017,22000
8/18/2017,28300
8/19/2017,28500
8/19/2017,18000
8/19/2017,37250
8/19/2017,22000
8/19/2017,26000
8/20/2017,27200
8/20/2017,29501
8/20/2017,27500
8/21/2017,22000
8/21/2017,18000
8/21/2017,27500
8/21/2017,27900
8/21/2017,28500
8/21/2017,34538
8/21/2017,18000
8/21/2017,26134
8/21/2017,27500
8/21/2017,28100
8/21/2017,29150
8/22/2017,22000
8/22/2017,30856
8/22/2017,22000
8/22/2017,29248
8/23/2017,28800
8/23/2017,24000
8/23/2017,29500
8/23/2017,20071
8/23/2017,29704
8/23/2017,22000
8/24/2017,31254
8/24/2017,27500
8/24/2017,37250
8/24/2017,30219
8/24/2017,27900
8/24/2017,18000
8/24/2017,31011
8/24/2017,40774
8/24/2017,25200
8/25/2017,22000
8/25/2017,22000
8/25/2017,24000
8/25/2017,27900
8/26/2017,18000
8/26/2017,26000
8/26/2017,27500
8/26/2017,28500
8/27/2017,18000
8/27/2017,27461
8/27/2017,25693
8/27/2017,29704
8/27/2017,18000
8/27/2017,27200
8/27/2017,26307
8/28/2017,25948
8/28/2017,22475
8/28/2017,27000
8/29/2017,22000
8/29/2017,28000
8/29/2017,18000
8/29/2017,27900
8/29/2017,28500
8/29/2017,29650
8/29/2017,26000
8/29/2017,24000
8/29/2017,24000
8/29/2017,22000
8/29/2017,22000
8/29/2017,27500
8/29/2017,28500
8/30/2017,33114
8/30/2017,28300
8/30/2017,31665
8/30/2017,27500
8/30/2017,18000
8/30/2017,30156
8/30/2017,22000
8/31/2017,28800
8/31/2017,37250
8/31/2017,26596
8/31/2017,18000
9/1/2017,18000
9/1/2017,28653
9/1/2017,27500
9/1/2017,22000
9/1/2017,40513
9/1/2017,25260
9/1/2017,27000
9/1/2017,26000
9/1/2017,27900
9/2/2017,29501
9/2/2017,27500
9/2/2017,18000
9/2/2017,27500
9/2/2017,30280
9/2/2017,27900
9/3/2017,29500
9/3/2017,26000
9/3/2017,22000
9/3/2017,32756
9/3/2017,22000
9/3/2017,28100
9/3/2017,34568
9/3/2017,29650
9/3/2017,35376
9/3/2017,18000
9/4/2017,22000
9/4/2017,18000
9/4/2017,24435
9/4/2017,24000
9/5/2017,22000
9/5/2017,22000
9/5/2017,18000
9/5/2017,26000
9/5/2017,33595
9/5/2017,37250
9/5/2017,33245
9/6/2017,25467
9/6/2017,27200
9/6/2017,29529
9/6/2017,29501
9/6/2017,22000
9/6/2017,28500
9/6/2017,32509
9/6/2017,27500
9/6/2017,26000
9/7/2017,28000
9/7/2017,30242
9/7/2017,22000
9/7/2017,22000
9/7/2017,42088
9/7/2017,27500
9/8/2017,25200
9/8/2017,26000
9/8/2017,28500
9/8/2017,18000
9/8/2017,27900
9/8/2017,33604
9/8/2017,23642
9/8/2017,34644
9/8/2017,27900
9/9/2017,26069
9/9/2017,29704
9/9/2017,18000
9/9/2017,22000
9/9/2017,22000
9/9/2017,24428
9/9/2017,37250
9/10/2017,22000
9/10/2017,30406
9/11/2017,18000
